qid	order	query	qld.recip_rank
301	-1	International Organized Crime	0.25
302	-1	Poliomyelitis and Post-Polio	1.0
303	-1	Hubble Telescope Achievements	0.5
304	-1	Endangered Species (Mammals)	0.25
305	-1	Most Dangerous Vehicles	0.0833
306	-1	African Civilian Deaths	1.0
307	-1	New Hydroelectric Projects	1.0
308	-1	Implant Dentistry	1.0
309	-1	Rap and Crime	0.0
310	-1	Radio Waves and Brain Cancer	1.0
311	-1	Industrial Espionage	1.0
312	-1	Hydroponics	1.0
313	-1	Magnetic Levitation-Maglev	1.0
314	-1	Marine Vegetation	0.0303
315	-1	Unexplained Highway Accidents	0.1667
316	-1	Polygamy Polyandry Polygyny	1.0
317	-1	Unsolicited Faxes	1.0
318	-1	Best Retirement Country	0.1429
319	-1	New Fuel Sources	0.3333
320	-1	Undersea Fiber Optic Cable	0.125
321	-1	Women in Parliaments	1.0
322	-1	International Art Crime	0.0
323	-1	Literary/Journalistic Plagiarism	1.0
324	-1	Argentine/British Relations	1.0
325	-1	Cult Lifestyles	0.0833
326	-1	Ferry Sinkings	1.0
327	-1	Modern Slavery	0.0909
328	-1	Pope Beatifications	1.0
329	-1	Mexican Air Pollution	1.0
330	-1	Iran-Iraq Cooperation	1.0
331	-1	World Bank Criticism	1.0
332	-1	Income Tax Evasion	0.0455
333	-1	Antibiotics Bacteria Disease	1.0
334	-1	Export Controls Cryptography	0.5
335	-1	Adoptive Biological Parents	1.0
336	-1	Black Bear Attacks	1.0
337	-1	Viral Hepatitis	1.0
338	-1	Risk of Aspirin	1.0
339	-1	Alzheimer's Drug Treatment	0.5
340	-1	Land Mine Ban	1.0
341	-1	Airport Security	1.0
342	-1	Diplomatic Expulsion	0.5
343	-1	Police Deaths	0.0909
344	-1	Abuses of E-Mail	1.0
345	-1	Overseas Tobacco Sales	0.1667
346	-1	Educational Standards	0.5
347	-1	Wildlife Extinction	0.1111
348	-1	Agoraphobia	1.0
349	-1	Metabolism	1.0
350	-1	Health and Computer Terminals	1.0
351	-1	Falkland petroleum exploration	1.0
352	-1	British Chunnel impact	1.0
353	-1	Antarctica exploration	1.0
354	-1	journalist risks	0.3333
355	-1	ocean remote sensing	1.0
356	-1	postmenopausal estrogen Britain	0.0476
357	-1	territorial waters dispute	1.0
358	-1	blood-alcohol fatalities	0.3333
359	-1	mutual fund predictors	0.0667
360	-1	drug legalization benefits	1.0
361	-1	clothing sweatshops	0.5
362	-1	human smuggling	0.5
363	-1	transportation tunnel disasters	1.0
364	-1	rabies	1.0
365	-1	El Nino	1.0
366	-1	commercial cyanide uses	1.0
367	-1	piracy	0.25
368	-1	in vitro fertilization	1.0
369	-1	anorexia nervosa bulimia	1.0
370	-1	food/drug laws	0.1429
371	-1	health insurance holistic	0.0
372	-1	Native American casino	1.0
373	-1	encryption equipment export	1.0
374	-1	Nobel prize winners	0.25
375	-1	hydrogen energy	1.0
376	-1	World Court	0.25
377	-1	cigar smoking	1.0
378	-1	euro opposition	0.05
379	-1	mainstreaming	0.25
380	-1	obesity medical treatment	0.3333
381	-1	alternative medicine	1.0
382	-1	hydrogen fuel automobiles	1.0
383	-1	mental illness drugs	0.3333
384	-1	space station moon	0.5
385	-1	hybrid fuel cars	1.0
386	-1	teaching disabled children	0.2
387	-1	radioactive waste	0.5
388	-1	organic soil enhancement	0.3333
389	-1	illegal technology transfer	0.125
390	-1	orphan drugs	1.0
391	-1	R&D drug prices	0.5
392	-1	robotics	1.0
393	-1	mercy killing	1.0
394	-1	home schooling	0.1111
395	-1	tourism	0.2
396	-1	sick building syndrome	1.0
397	-1	automobile recalls	0.25
398	-1	dismantling Europe's arsenal	1.0
399	-1	oceanographic vessels	0.3333
