qid	order	query	qld.recip_rank
301	-1	International Organized Crime	0.25
301	bt_nllb_malay	Integrated Crime	1.0
301	bt_nllb_german	International organised crime	0.5
301	bt_nllb_arabic	International organized crime	0.25
301	bt_nllb_chinese_yue	International organized crime	0.25
301	bt_nllb_french	International organized crime	0.25
301	bt_nllb_korean	International organized crime	0.25
301	bt_nllb_persian	International organized crime	0.25
301	bt_nllb_russian	International organized crime	0.25
301	bt_nllb_tamil	International organized crime	0.25
301	bt_nllb_swahili	International Crime	0.1429
302	-1	Poliomyelitis and Post-Polio	1.0
302	bt_nllb_persian	Polyamide and then polio	1.0
302	bt_nllb_arabic	Polio and polio	0.5
302	bt_nllb_chinese_yue	After polio and polio	0.5
302	bt_nllb_french	Polio and the Post Polio	0.5
302	bt_nllb_german	Polio and postpolio	0.5
302	bt_nllb_malay	Polio and after polio	0.5
302	bt_nllb_russian	Polio and postpolio	0.5
302	bt_nllb_swahili	Polio and Afterpolio	0.5
302	bt_nllb_tamil	After polio and polio	0.5
302	bt_nllb_korean	Polyamylitis and polyochondrosis	0.0
303	-1	Hubble Telescope Achievements	0.5
303	bt_nllb_swahili	The results of the Hubble Telescope	1.0
303	bt_nllb_arabic	The achievements of the Hubble Telescope	0.5
303	bt_nllb_chinese_yue	The Hubble Telescope has achieved this	0.5
303	bt_nllb_french	The achievements of the Hubble Telescope	0.5
303	bt_nllb_german	Achievements of the Hubble Telescope	0.5
303	bt_nllb_malay	The achievements of the Hubble Telescope	0.5
303	bt_nllb_persian	The achievements of the Hubble Telescope	0.5
303	bt_nllb_russian	The achievements of the Hubble Telescope	0.5
303	bt_nllb_tamil	Hubble s telescope achievements	0.5
303	bt_nllb_korean	The Hubble Telescope was completed	0.2
304	-1	Endangered Species (Mammals)	0.25
304	bt_nllb_korean	Endangered species	1.0
304	bt_nllb_tamil	The species in danger of extinction type	1.0
304	bt_nllb_chinese_yue	They are endangered	0.5
304	bt_nllb_persian	Endangered species clover	0.5
304	bt_nllb_swahili	Endangered Species Animals	0.5
