,qid,order,query,bm25.recip_rank
0,INEX_LD-2009022,-1,Szechwan dish food cuisine,1.0
1,INEX_LD-2009039,-1,roman architecture,1.0
2,INEX_LD-2009053,-1,finland car industry manufacturer saab sisu,0.3333
3,INEX_LD-2009053,anchor.topn3,finland car industry manufacturer saab sisu estonia lithuania norway mashti lc used car x turbo x drakens nalle sisu lahore iii kb,1.0
4,INEX_LD-2009053,bt_nllb_arabic,Finnish car manufacturing plant Sap Sisu,1.0
5,INEX_LD-2009053,bt_nllb_russian,Finnish manufacturer of automotive industry Saab Suzi,1.0
6,INEX_LD-2009053,conceptnet.topn3,finland car industry manufacturer saab sisu a country drive commercial enterprise food manufacturer saab monte carlo turbo a brand of car will finnish perseverance,1.0
7,INEX_LD-2009053,relevancefeedback.topn10.bm25,finland car industry manufacturer saab sisu patria motor automot associ,1.0
8,INEX_LD-2009053,stem.trunc4,finl car indu manu saab sisu,1.0
9,INEX_LD-2009053,stem.trunc5,finla car indus manuf saab sisu,1.0
10,INEX_LD-2009053,word2vec.topn3,finland car industry manufacturer saab sisu sweden norway scandinavia automobile vehicle industy maker supplier maruti rafi virk Finnishness perkele suomalainen,1.0
11,INEX_LD-2009053,anchor.topn3.replace,estonia lithuania norway mashti lc used car industry manufacturer x turbo x drakens nalle sisu lahore iii kb,0.5
12,INEX_LD-2009053,bt_bing_arabic,Finland manufacturer Saab Sisu,0.5
13,INEX_LD-2009053,bt_bing_chinese_simplified,Sabosisu a Finnish manufacturer of the automotive industry,0.5
14,INEX_LD-2009053,bt_bing_malay,Finnish car industry manufacturer Saab Sisu,0.5
15,INEX_LD-2009053,bt_nllb_tamil,Sappha Sysu Finnish automotive manufacturer,0.5
16,INEX_LD-2009053,relevancefeedback.topn10.qld,finland car industry manufacturer saab sisu motor patria automot sweden,0.5
17,INEX_LD-2009053,stem.lovins,finland car industr manufacturer saab sisu,0.5
18,INEX_LD-2009053,stem.paicehusk,finland car industry manufact saab sisu,0.5
19,INEX_LD-2009053,tagmee.topn3,finland car industry manufacturer saab sisu Finland Automotive industry Automotive industry Saab Automobile Sisu Auto,0.5
