qid	order	query	bm25.recip_rank
301	-1	International Organized Crime	0.5
302	-1	Poliomyelitis and Post-Polio	1.0
303	-1	Hubble Telescope Achievements	0.5
304	-1	Endangered Species (Mammals)	1.0
305	-1	Most Dangerous Vehicles	0.0154
305	bt_nllb_arabic	The most dangerous cars	0.04
305	bt_nllb_chinese_yue	The most dangerous car	0.04
305	bt_nllb_swahili	The Most Dangerous Cars	0.04
306	-1	African Civilian Deaths	1.0
307	-1	New Hydroelectric Projects	1.0
308	-1	Implant Dentistry	1.0
309	-1	Rap and Crime	0.0
310	-1	Radio Waves and Brain Cancer	1.0
311	-1	Industrial Espionage	1.0
312	-1	Hydroponics	1.0
313	-1	Magnetic Levitation-Maglev	1.0
314	-1	Marine Vegetation	0.0312
314	bt_nllb_persian	Seaweed	1.0
314	bt_nllb_russian	Sea vegetation	1.0
314	bt_nllb_swahili	Seaweed	1.0
314	bt_nllb_arabic	Marine plants	0.5
314	bt_nllb_german	Protection of the seas	0.5
315	-1	Unexplained Highway Accidents	0.1429
315	bt_nllb_chinese_yue	The cause of the accident is unknown	1.0
315	bt_nllb_tamil	Unidentified road accidents	0.3333
316	-1	Polygamy Polyandry Polygyny	1.0
317	-1	Unsolicited Faxes	1.0
318	-1	Best Retirement Country	0.1111
319	-1	New Fuel Sources	1.0
320	-1	Undersea Fiber Optic Cable	0.0312
320	bt_nllb_arabic	The fiber optic cable is underwater	0.1667
320	bt_nllb_malay	Underwater fiber optic cables	0.1667
320	bt_nllb_german	Subsea fibre optic cables	0.1429
320	bt_nllb_tamil	Sea glass fiber cable	0.1
320	bt_nllb_french	Submarine fibre optic cable	0.0909
320	bt_nllb_russian	Subsea optical cable made of fibres	0.0833
321	-1	Women in Parliaments	1.0
322	-1	International Art Crime	0.0132
322	bt_nllb_french	International crime against art	0.0222
323	-1	Literary/Journalistic Plagiarism	1.0
324	-1	Argentine/British Relations	1.0
325	-1	Cult Lifestyles	0.2
326	-1	Ferry Sinkings	1.0
327	-1	Modern Slavery	0.1667
327	bt_nllb_malay	Modern day Slavery	0.3333
328	-1	Pope Beatifications	1.0
329	-1	Mexican Air Pollution	1.0
330	-1	Iran-Iraq Cooperation	0.2
330	bt_nllb_german	Cooperation between Iran and Iraq	0.25
331	-1	World Bank Criticism	1.0
332	-1	Income Tax Evasion	0.5
333	-1	Antibiotics Bacteria Disease	1.0
334	-1	Export Controls Cryptography	1.0
335	-1	Adoptive Biological Parents	1.0
336	-1	Black Bear Attacks	0.3333
337	-1	Viral Hepatitis	0.3333
