qid	order	query	qld.map
301	-1	International Organized Crime	0.0104
302	-1	Poliomyelitis and Post-Polio	0.5115
303	-1	Hubble Telescope Achievements	0.1915
303	bt_nllb_swahili	The results of the Hubble Telescope	0.2495
304	-1	Endangered Species (Mammals)	0.037
304	bt_nllb_swahili	Endangered Species Animals	0.0606
304	bt_nllb_chinese_yue	They are endangered	0.0513
304	bt_nllb_korean	Endangered species	0.0457
304	bt_nllb_persian	Endangered species clover	0.04
305	-1	Most Dangerous Vehicles	0.0044
306	-1	African Civilian Deaths	0.0527
307	-1	New Hydroelectric Projects	0.2124
308	-1	Implant Dentistry	0.2812
308	bt_nllb_german	Implant teeth	0.5
308	bt_nllb_malay	Dental Implantation	0.5
308	bt_nllb_persian	Dental implant	0.5
309	-1	Rap and Crime	0.0
310	-1	Radio Waves and Brain Cancer	0.1362
311	-1	Industrial Espionage	0.2058
312	-1	Hydroponics	0.8553
313	-1	Magnetic Levitation-Maglev	0.768
314	-1	Marine Vegetation	0.0019
314	bt_nllb_persian	Seaweed	0.1828
314	bt_nllb_swahili	Seaweed	0.1828
314	bt_nllb_russian	Sea vegetation	0.0254
314	bt_nllb_arabic	Marine plants	0.0246
314	bt_nllb_german	Protection of the seas	0.0234
314	bt_nllb_chinese_yue	Sea plants	0.006
314	bt_nllb_korean	Sea plants	0.006
314	bt_nllb_malay	Sea plants	0.006
314	bt_nllb_tamil	Sea plants	0.006
315	-1	Unexplained Highway Accidents	0.0035
315	bt_nllb_chinese_yue	The cause of the accident is unknown	0.0085
315	bt_nllb_tamil	Unidentified road accidents	0.0044
316	-1	Polygamy Polyandry Polygyny	0.579
316	bt_nllb_chinese_yue	Polygamy polygamy polygamy and polygamy	0.6569
316	bt_nllb_french	Polygamy and polygamy	0.6569
316	bt_nllb_german	Polygamy and polygamy	0.6569
316	bt_nllb_malay	Polygamy Polygamy	0.6569
317	-1	Unsolicited Faxes	0.5036
318	-1	Best Retirement Country	0.0061
319	-1	New Fuel Sources	0.0564
320	-1	Undersea Fiber Optic Cable	0.0462
320	bt_nllb_french	Submarine fibre optic cable	0.0849
321	-1	Women in Parliaments	0.1544
322	-1	International Art Crime	0.0
323	-1	Literary/Journalistic Plagiarism	0.2354
323	bt_nllb_malay	Literary plagiarism	0.3243
324	-1	Argentine/British Relations	0.2779
325	-1	Cult Lifestyles	0.0471
326	-1	Ferry Sinkings	0.6066
327	-1	Modern Slavery	0.0613
327	bt_nllb_malay	Modern day Slavery	0.1015
328	-1	Pope Beatifications	0.6622
329	-1	Mexican Air Pollution	0.0956
329	bt_nllb_arabic	Air pollution in Mexico	0.1766
329	bt_nllb_chinese_yue	Air pollution in Mexico	0.1766
329	bt_nllb_french	Air Pollution in Mexico	0.1766
329	bt_nllb_german	Air pollution in Mexico	0.1766
329	bt_nllb_korean	Air Pollution in Mexico	0.1766
329	bt_nllb_malay	Air Pollution in Mexico	0.1766
329	bt_nllb_persian	Air pollution in Mexico	0.1766
329	bt_nllb_russian	Air pollution in Mexico	0.1766
